	time	error
766	0.5	5e-10
767	0.5	5e-10
768	0.5	5e-10
769	0.5	5e-10
770	0.5	5e-10
771	0.5	5e-10
772	0.5	5e-10
773	0.5	5e-10
774	0.5	5e-10
775	0.5	5e-10
776	0.5	5e-10
777	0.5	5e-10
778	0.5	5e-10
779	0.5	5e-10
780	0.5	5e-10
781	0.5	5e-10
782	0.5	5e-10
783	0.5	5e-10
784	0.5	5e-10
785	0.5	5e-10
786	0.5	5e-10
787	0.5	5e-10
788	0.5	5e-10
789	0.5	5e-10
790	0.5	5e-10
791	0.5	5e-10
792	0.5	5e-10
793	0.5	5e-10
794	0.5	5e-10
795	0.5	5e-10
796	0.5	5e-10
797	0.5	5e-10
798	0.5	5e-10
799	0.5	5e-10
800	0.5	5e-10
801	0.5	5e-10
802	0.5	5e-10
803	0.5	5e-10
804	0.5	5e-10
805	0.5	5e-10
806	0.5	5e-10
807	0.5	5e-10
808	0.5	5e-10
809	0.5	5e-10
810	0.5	5e-10
811	0.5	5e-10
812	0.5	5e-10
813	0.5	5e-10
814	0.5	5e-10
815	0.5	5e-10
816	0.5	5e-10
817	0.5	5e-10
818	0.5	5e-10
819	0.5	5e-10
820	0.5	5e-10
821	0.5	5e-10
822	0.5	5e-10
823	0.5	5e-10
824	0.5	5e-10
825	0.5	5e-10
826	0.5	5e-10
827	0.5	5e-10
828	0.5	5e-10
829	0.5	5e-10
830	0.5	5e-10
831	0.5	5e-10
832	0.5	5e-10
833	0.5	5e-10
834	0.5	5e-10
835	0.5	5e-10
836	0.5	5e-10
837	0.5	5e-10
838	0.5	5e-10
839	0.5	5e-10
840	0.5	5e-10
841	0.5	5e-10
842	0.5	5e-10
843	0.5	5e-10
844	0.5	5e-10
845	0.5	5e-10
846	0.5	5e-10
847	0.5	5e-10
848	0.5	5e-10
849	0.5	5e-10
850	0.5	5e-10
851	0.5	5e-10
852	0.5	5e-10
853	0.5	5e-10
854	0.5	5e-10
855	0.5	5e-10
856	0.5	5e-10
857	0.5	5e-10
858	0.5	5e-10
859	-0.5	5e-10
860	-0.5	5e-10
861	-0.5	5e-10
862	-0.5	5e-10
863	-0.5	5e-10
864	-0.5	5e-10
865	-0.5	5e-10
866	-0.5	5e-10
867	-0.5	5e-10
868	-0.5	5e-10
869	-0.5	5e-10
870	-0.5	5e-10
871	-0.5	5e-10
872	-0.5	5e-10
873	-0.5	5e-10
874	-0.5	5e-10
875	-0.5	5e-10
876	-0.5	5e-10
877	-0.5	5e-10
878	-0.5	5e-10
879	-0.5	5e-10
880	-0.5	5e-10
881	-0.5	5e-10
882	-0.5	5e-10
883	-0.5	5e-10
884	-0.5	5e-10
885	-0.5	5e-10
886	-0.5	5e-10
887	-0.5	5e-10
888	-0.5	5e-10
889	-0.5	5e-10
890	-0.5	5e-10
891	-0.5	5e-10
892	-0.5	5e-10
893	-0.5	5e-10
894	-0.5	5e-10
895	-0.5	5e-10
896	-0.5	5e-10
897	-0.5	5e-10
898	-0.5	5e-10
899	-0.5	5e-10
900	-0.5	5e-10
901	-0.5	5e-10
